Project name,Source type,Language,Development toolset,Team size,Age,Source,Link,Application type,Application size,Operating system,Number of versions,1st vc increments,2nd vc increments,3rd vc increments,4th vc increments,Suffix number increments,1st vc number of jumps,1st vc sum of jumps,1st vc avg of jumps,2nd vc number of jumps,2nd vc sum of jumps,2nd vc avg of jumps,3rd vc number of jumps,3rd vc sum of jumps,3rd vc avg of jumps,4th vc number of jumps,4th vc sum of jumps,4th vc avg of jumps,Suffix number of jumps,Suffix sum of jumps,Suffix avg of jumps,1st vc number of empty jumps,1st vc sum of empty jumps,1st vc avg of empty jumps,2nd vc number of empty jumps,2nd vc sum of empty jumps,2nd vc avg of empty jumps,3rd vc number of empty jumps,3rd vc sum of empty jumps,3rd vc avg of empty jumps,4th vc number of empty jumps,4th vc sum of empty jumps,4th vc avg of empty jumps,Suffix number of empty jumps,Suffix sum of empty jumps,Suffix avg of empty jumps,1st vc avg cycle length,2nd vc avg cycle length,3rd vc avg cycle length,4th vc avg cycle length,Suffix number avg cycle length,Number of megalomania severities,Sum of megalomania severities,Average of megalomania severities,Aggregated increments,Aggregated jumps,Aggregated empty jumps,Aggregated cycle length,Aggregated inconsistency score
jquery,OSS,JavaScript,JavaScript,196,8,git,https://github.com/jquery/jquery.git,Library,0.5,Multiplatform,122,1,11,36,0,15,0,0.0,0,2,10.0,5.0,0,0.0,0,0,0.0,0,8,8.0,1.0,0,0.0,0,0,0.0,0,19,5.0,2.8421052631578947,2,7.0,3.5,0,0.0,0,2.652173913043478,2.259259259259259,1.1844660194174756,1.0,1.4878048780487805,8.0,8.0,1.0,63.0,6.0,9.0,1.7167408139537987,16.0
jquery-ui,OSS,JavaScript,JavaScript,251,6,git,https://github.com/jquery/jquery-ui.git,Library,2.7,Multiplatform,63,0,5,27,0,11,0,0.0,0,1,5.0,5.0,4,32.0,8.0,0,0.0,0,2,3.0,1.5,0,0.0,0,0,0.0,0,5,5.0,2.8,0,0.0,0,0,0.0,0,7.875,5.7272727272727275,1.125,1.0,2.52,1.0,1.0,1.0,43.0,11.0,5.0,3.649454545454545,17.0
linux,OSS,C,UNIX,4091,9,git,https://github.com/torvalds/linux.git,OS,145,Multiplatform,382,1,14,28,0,288,0,0.0,0,2,11.0,5.5,0,0.0,0,0,0.0,0,2,11.0,5.5,0,0.0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,8.304347826086957,6.161290322580645,1.91,1.0,1.0052631578947369,1.0,1.0,1.0,331.0,6.0,2.0,3.676180261312468,9.0
maven,OSS,Java,Java,32,11,git,https://github.com/apache/maven.git,DevTool,5.2,Multiplatform,34,1,2,9,0,11,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,2,5.0,2.5,0,0.0,0,0,0.0,0,3.090909090909091,3.090909090909091,1.1333333333333333,1.0,1.1724137931034482,1.0,1.0,1.0,23.0,0.0,5.0,1.8975130616509925,6.0
php-src,OSS,C,PHP,191,15,git,https://github.com/php/php-src.git,Language,23,Multiplatform,615,6,23,146,0,169,5,18.0,3.6,7,105.0,15.0,17,128.0,7.529411764705882,0,0.0,0,18,20.0,1.1111111111111112,25,6.0,0.96,17,6.0,1.588235294117647,29,10.0,2.4482758620689653,0,0.0,0,25,6.0,0.96,2.4798387096774195,2.338403041825095,1.404109589041096,1.0,1.1538461538461537,14.0,20.0,1.4285714285714286,344.0,75.0,10.0,1.6752394988779529,86.42857142857143
r-lang,OSS,C,R,29,17,git,https://github.com/wch/r-source.git,Language,18,Multiplatform,54,2,21,28,0,0,0,0.0,0,3,13.0,4.333333333333333,3,4.0,1.3333333333333333,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2.16,2.0,1.0,1.0,2.16,2.0,2.0,1.0,51.0,9.0,0.0,1.6640000000000001,10.0
rails,OSS,Ruby,Ruby,2404,10,git,https://github.com/rails/rails.git,Framework,4.9,Multiplatform,221,4,12,103,0,43,0,0.0,0,1,9.0,9.0,11,66.0,6.0,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,0,0.0,0,6,7.0,3.5,0,0.0,0,3.8771929824561404,3.7457627118644066,1.3233532934131738,1.0,1.637037037037037,4.0,4.0,1.0,162.0,25.0,7.0,2.3166692049541515,33.0
symfony,OSS,PHP,PHP,972,4.6,git,https://github.com/symfony/symfony.git,Framework,4.2,Multiplatform,90,0,5,68,0,2,0,0.0,0,0,0.0,0,10,65.0,6.5,0,0.0,0,2,2.0,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9.0,9.0,1.0227272727272727,1.0,6.428571428571429,0.0,0.0,0,75.0,20.0,0.0,5.29025974025974,20.0
yui2,OSS,JavaScript,JavaScript,22,9,git,https://github.com/yui/yui2.git,Library,15,Multiplatform,1282,0,0,0,0,1255,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,2002.0,667.3333333333334,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1282.0,1.0,1.0,1.0,1.0182684670373312,0.0,0.0,0,1255.0,0.0,0.0,257.2036536934075,0.0
yui3,OSS,JavaScript,JavaScript,140,7,git,https://github.com/yui/yui3.git,Library,20,Multiplatform,77,0,16,15,0,17,0,0.0,0,2,11.0,5.5,0,0.0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2.264705882352941,1.75,1.5714285714285714,1.0,1.1159420289855073,0.0,0.0,0,48.0,6.0,0.0,1.540415296553404,6.0
ruby,OSS,C,Ruby,36,17,git,https://github.com/ruby/ruby.git,Language,13,Multiplatform,253,2,10,33,37,48,0,0.0,0,0,0.0,0,4,7.0,1.75,70,3641.0,52.01428571428571,4,4.0,1.0,0,0.0,0,0,0.0,0,6,5.0,2.6666666666666665,18,7.0,3.9444444444444446,0,0.0,0,6.837837837837838,6.023809523809524,2.4326923076923075,1.0,2.53,7.0,7.0,1.0,130.0,78.0,9.0,3.764867933867934,88.0
ruby,OSS,C,Ruby,36,17,release_notes,https://github.com/ruby/ruby.git,Language,13,Multiplatform,122,6,17,42,0,14,4,4.0,1.0,19,137.0,7.2105263157894735,37,129.0,3.4864864864864864,0,0.0,0,61,20322.0,333.1475409836066,0,0.0,0,0,0.0,0,1,3.0,3.0,0,0.0,0,0,0.0,0,6.1,2.7111111111111112,1.1730769230769231,1.0,1.2708333333333333,2.0,3.0,1.5,79.0,147.0,3.0,2.4510042735042736,151.5
jira,Proprietary,Java,--,--,6.3,marketplace,https://marketplace.atlassian.com/plugins/com.pyxis.greenhopper.jira/versions,DevTool,288.8,Windows,102,3,18,41,6,0,0,0.0,0,7,29.0,4.142857142857143,12,25.0,2.0833333333333335,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,24,5.0,2.5,26,7.0,3.5,0,0.0,0,3.090909090909091,2.4285714285714284,1.186046511627907,1.0,3.090909090909091,4.0,4.0,1.0,68.0,46.0,9.0,2.1592872244035037,56.0
connector,Proprietary,Java,--,--,5.3,"marketplace,release_notes","https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.eclipse.jira/versions,https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.idea/versions,https://marketplace.atlassian.com/plugins/PLVS/versions,https://confluence.atlassian.com/display/ALLDOC/IDE+Connector+Documentation+Directory",DevTool,68.8,Multiplatform,41,3,7,16,0,0,0,0.0,0,2,4.0,2.0,6,28.0,4.666666666666667,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,5.0,2.6666666666666665,0,0.0,0,0,0.0,0,5.857142857142857,2.9285714285714284,1.025,1.0,4.555555555555555,0.0,0.0,0,26.0,10.0,5.0,3.073253968253968,15.0
